AppType,cli
AppVersion,2.20.0
BasicCursor,2
CaseInsensitiveCollationColumns,0
CloseSession,2026/04/17 16:06:40 -04:00
CodeCompletenessScore,81.82
CodeUnitsOutOfScope,0
CodeUnitsOutOfScopePercentage,0
CommentObjectsWithMissingDependencies,Off
ConversionSpeed,519
CoreVersion,35.12.0+d363a9e2fe161686220330dd43918f4777e5b26b
CreateSession,2026/04/17 16:06:35 -04:00
CursorForUpdate,1
CursorsWithVariablesOrParameters,1
CustomDatabaseName,None
CustomSchemaName,None
DisableEwiCommentsGeneration,Off
DynamicExecuteStatements,7
DynamicInsertStatements,0
DynamicProcedureCallStatements,0
DynamicTotalStatements,7
DynamicTotalTables,0
DynamicTotalViews,0
ElapsedTime,00:00:04
EncodingOfTheInputFiles,Unicode (UTF-8)
EndConversion,2026/04/17 16:06:40 -04:00
ExtensibilityAPI_Version,0
ExternalRulesCount,0
ExternalRulesExecuted,0
FetchInLoop,2
FetchStatement,6
FilesWithUnexpectedEncoding,0
FillSymbolStep1Time,0.364773
FillSymbolStep2Time,0.652279
FullyConvertedCodeUnitsRate,45.45
FunctionalDifferenceMessages,75
FunctionCharacterConversionRate,0
FunctionFullyConvertedOccurrences,0
FunctionInlineTableValuedCount,0
FunctionLoCConversionRate,0
FunctionMultiStatementScalarCount,0
FunctionMultiStatementTableValuedCount,0
FunctionObjectConversionRate,0
FunctionScalarCount,0
FunctionSimpleScalarCount,0
FunctionsTransformedToProcedures,0
FunctionsTransformedToSnowScript,0
FunctionsWithBasicCursor,0
FunctionsWithCursorForUpdate,0
FunctionsWithCursorsWithVariablesOrParameters,0
FunctionsWithDynamicExecuteStatements,0
FunctionsWithDynamicInsertStatements,0
FunctionsWithFetchInLoop,0
FunctionsWithFetchStatement,0
FunctionsWithNestedCursors,0
FunctionTableValuedLoc,0
FunctionTotalCharacters,0
FunctionTotalConversionErrors,0
FunctionTotalLinesOfCode,0
FunctionTotalOccurrences,0
FunctionTotalParsingErrors,0
FunctionTotalWarnings,0
GlobalTemporaryTables,0
GrantStatementLinesOfCode,0
GrantStatements,0
InvalidEncodings,0
InvalidExtensions,0
InvalidSystemObjects,0
JavaScriptAsTargetLanguage,Off
LicenseData,
MaterializedViewCharacterConversionRate,0
MaterializedViewFullyConvertedOccurrences,0
MaterializedViewLoCConversionRate,0
MaterializedViewObjectConversionRate,0
MaterializedViewsReferencingMultipleObjects,0
MaterializedViewTotalCharacters,0
MaterializedViewTotalConversionErrors,0
MaterializedViewTotalLinesOfCode,0
MaterializedViewTotalOccurrences,0
MaterializedViewTotalParsingErrors,0
MaterializedViewTotalWarnings,0
MigrationId,DZ2dAbBcX3Skb4MNB+rC+Q==
NestedCursors,0
NestedTransactionsInTransactions,0
ObjectConversionRate,40
ObjectsSuccessfullyConverted,10
OSVersion,Unix 26.5.0
OtherCriticalIssues,2
ParsingTime,0.421795
PartitionKey,6eb54011-ba58-4fdb-84b6-d39159932fda
PerformanceReviews,4
PreConversionAssessmentTime,0.377736
PrepareMyCodeForConversion,Off
PreprocessingTime,0.211522
ProcedureCharacterConversionRate,96.16
ProcedureCursorOccurrences,2
ProcedureFullyConvertedOccurrences,0
ProcedureLoCConversionRate,95.17
ProcedureLoopOccurrences,3
ProcedureObjectConversionRate,0
ProceduresWithBasicCursor,1
ProceduresWithCursorForUpdate,1
ProceduresWithCursorsWithVariablesOrParameters,1
ProceduresWithDynamicExecuteStatements,4
ProceduresWithDynamicInsertStatements,0
ProceduresWithFetchInLoop,1
ProceduresWithFetchStatement,1
